MarketNo,MarketName,MarketType,YearMonth,ClosedDate
F330,桃園,魚,11301,8、15、22、29
F360,苗栗,魚,11301,4、8、11、15、18、22、25、29
F360,苗栗,魚,11212,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F500,彰化,魚,11212,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F630,斗南,魚,11212,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F708,台南,魚,11212,2、9、16、22、23、24、25、26、30、6、7、13、20、27、3、10、17、1、8、15、29、5、12、19、4、31
F109,台北,魚,11212,2、9、16、22、23、24、25、26、30、6、7、13、20、27、3、5、10、17、1、8、15、29、12、19、31
F300,新竹,魚,11212,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F400,台中,魚,11212,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F936,新港,魚,11212,1、2、8、15、22、23、24、25、26、29、5、6、12、19、28、4、9、16、30、7、14、21、11、18
F200,基隆,魚,11212,1、2、7、8、15、21、22、23、24、25、26、27、28、29、4、5、11、12、19、18、3、9、16、30、6、13、14、20、10
F261,頭城,魚,11212,8、15、20、21、22、23、24、25、26、29、5、12、19、2、9、16、30、7、14、28、31、4、11、18、1、27
F800,高雄,魚,11212,2、9、16、22、23、24、25、26、30、6、13、20、27、5、10、17、1、8、15、29、12、19、3、31
F270,蘇澳,魚,11212,1、8、15、22、29、20、21、23、24、25、26、30、5、12、19、2、9、16、7、14、28、4、11、18
F241,三重,魚,11212,2、9、16、22、23、24、25、26、27、30、6、7、13、20、3、5、10、17、1、8、15、29、12、19、31
F600,嘉義,魚,11212,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、19、3、10、17、1、15、29、5、12、31
F730,新營,魚,11212,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F820,岡山,魚,11212,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F826,梓官,魚,11212,21、22、23、24、25
F880,澎湖,魚,11212,22、23、24、27、28
F330,桃園,魚,11212,2、9、16、22、23、24、25、26、30、6、7、13、20、27、3、5、10、17、1、8、15、29、12、19、31
F513,埔心,魚,11212,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F709,興達港,魚,11212,7、21、22、23、24、25、26、6、5、20、3、19
F722,佳里,魚,11212,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F916,東港,魚,11212,1、2、8、9、15、22、23、24、25、26、29、30、5、6、12、13、19、27、4、10、16、7、14、21、28、11、18
F950,花蓮,魚,11212,1、2、8、14、15、20、21、22、23、24、25、26、27、28、29、7、5、11、12、19、4、18、3、9、16、30、6、13、10
F270,蘇澳,魚,11211,1、8、15、22、29、20、21、23、24、25、26、30、5、12、19、2、9、16、7、14、28、4、11、18
F500,彰化,魚,11211,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F708,台南,魚,11211,2、9、16、22、23、24、25、26、30、6、7、13、20、27、3、10、17、1、8、15、29、5、12、19、4、31
F241,三重,魚,11211,2、9、16、22、23、24、25、26、27、30、6、7、13、20、3、5、10、17、1、8、15、29、12、19、31
F261,頭城,魚,11211,8、15、20、21、22、23、24、25、26、29、5、12、19、2、9、16、30、7、14、28、31、4、11、18、1、27
F400,台中,魚,11211,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F600,嘉義,魚,11211,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、19、3、10、17、1、15、29、5、12、31
F330,桃園,魚,11211,2、9、16、22、23、24、25、26、30、6、7、13、20、27、3、5、10、17、1、8、15、29、12、19、31
F709,興達港,魚,11211,7、21、22、23、24、25、26、6、5、20、3、19
F950,花蓮,魚,11211,1、2、8、14、15、20、21、22、23、24、25、26、27、28、29、7、5、11、12、19、4、18、3、9、16、30、6、13、10
F300,新竹,魚,11211,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F630,斗南,魚,11211,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F916,東港,魚,11211,1、2、8、9、15、22、23、24、25、26、29、30、5、6、12、13、19、27、4、10、16、7、14、21、28、11、18
F936,新港,魚,11211,1、2、8、15、22、23、24、25、26、29、5、6、12、19、28、4、9、16、30、7、14、21、11、18
F360,苗栗,魚,11211,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F826,梓官,魚,11211,21、22、23、24、25
F880,澎湖,魚,11211,22、23、24、27、28
F513,埔心,魚,11211,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F820,岡山,魚,11211,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F109,台北,魚,11211,2、9、16、22、23、24、25、26、30、6、7、13、20、27、3、5、10、17、1、8、15、29、12、19、31
F200,基隆,魚,11211,1、2、7、8、15、21、22、23、24、25、26、27、28、29、4、5、11、12、19、18、3、9、16、30、6、13、14、20、10
F722,佳里,魚,11211,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F730,新營,魚,11211,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F800,高雄,魚,11211,2、9、16、22、23、24、25、26、30、6、13、20、27、5、10、17、1、8、15、29、12、19、3、31
F241,三重,魚,11210,2、9、16、22、23、24、25、26、27、30、6、7、13、20、3、5、10、17、1、8、15、29、12、19、31
F600,嘉義,魚,11210,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、19、3、10、17、1、15、29、5、12、31
F513,埔心,魚,11210,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F722,佳里,魚,11210,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F916,東港,魚,11210,1、2、8、9、15、22、23、24、25、26、29、30、5、6、12、13、19、27、4、10、16、7、14、21、28、11、18
F950,花蓮,魚,11210,1、2、8、14、15、20、21、22、23、24、25、26、27、28、29、7、5、11、12、19、4、18、3、9、16、30、6、13、10
F109,台北,魚,11210,2、9、16、22、23、24、25、26、30、6、7、13、20、27、3、5、10、17、1、8、15、29、12、19、31
F330,桃園,魚,11210,2、9、16、22、23、24、25、26、30、6、7、13、20、27、3、5、10、17、1、8、15、29、12、19、31
F709,興達港,魚,11210,7、21、22、23、24、25、26、6、5、20、3、19
F730,新營,魚,11210,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F820,岡山,魚,11210,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F360,苗栗,魚,11210,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F500,彰化,魚,11210,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F630,斗南,魚,11210,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F936,新港,魚,11210,1、2、8、15、22、23、24、25、26、29、5、6、12、19、28、4、9、16、30、7、14、21、11、18
F270,蘇澳,魚,11210,1、8、15、22、29、20、21、23、24、25、26、30、5、12、19、2、9、16、7、14、28、4、11、18
F300,新竹,魚,11210,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F400,台中,魚,11210,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F708,台南,魚,11210,2、9、16、22、23、24、25、26、30、6、7、13、20、27、3、10、17、1、8、15、29、5、12、19、4、31
F826,梓官,魚,11210,21、22、23、24、25
F880,澎湖,魚,11210,22、23、24、27、28
F200,基隆,魚,11210,1、2、7、8、15、21、22、23、24、25、26、27、28、29、4、5、11、12、19、18、3、9、16、30、6、13、14、20、10
F261,頭城,魚,11210,8、15、20、21、22、23、24、25、26、29、5、12、19、2、9、16、30、7、14、28、31、4、11、18、1、27
F800,高雄,魚,11210,2、9、16、22、23、24、25、26、30、6、13、20、27、5、10、17、1、8、15、29、12、19、3、31
F330,桃園,魚,11209,2、9、16、22、23、24、25、26、30、6、7、13、20、27、3、5、10、17、1、8、15、29、12、19、31
F709,興達港,魚,11209,7、21、22、23、24、25、26、6、5、20、3、19
F916,東港,魚,11209,1、2、8、9、15、22、23、24、25、26、29、30、5、6、12、13、19、27、4、10、16、7、14、21、28、11、18
F950,花蓮,魚,11209,1、2、8、14、15、20、21、22、23、24、25、26、27、28、29、7、5、11、12、19、4、18、3、9、16、30、6、13、10
F360,苗栗,魚,11209,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F400,台中,魚,11209,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F936,新港,魚,11209,1、2、8、15、22、23、24、25、26、29、5、6、12、19、28、4、9、16、30、7、14、21、11、18
F270,蘇澳,魚,11209,1、8、15、22、29、20、21、23、24、25、26、30、5、12、19、2、9、16、7、14、28、4、11、18
F300,新竹,魚,11209,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
F500,彰化,魚,11209,2、9、16、22、23、24、25、26、27、30、6、7、8、13、20、3、10、17、1、15、29、5、12、19、31
